customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00039,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,84.26,4465.14,No
CUST-00040,Male,0,Yes,No,0,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),76.78,-2.58,No
CUST-00041,Male,0,No,Yes,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,76.14,4107.32,Yes
CUST-00042,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),115.09,1609.33,No
CUST-00043,Female,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,56.14,786.56,No
CUST-00044,Female,0,Yes,Yes,22,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,109.85,2418.09,No
CUST-00045,Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.23,1183.26,No
CUST-00046,Female,1,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,116.2,5233.6,No
CUST-00047,Male,0,No,No,8,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,74.29,590.26,No
CUST-00048,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.98,4550.79,No
CUST-00049,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,108.92,7078.57,No
CUST-00050,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.89,1411.93,No
CUST-00051,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,71.2,1142.55,No
CUST-00052,Male,0,No,No,71,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,57.2,4063.45,No
CUST-00053,Female,1,Yes,No,33,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,85.24,2813.63,No
CUST-00054,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.42,1588.33,No
CUST-00055,Female,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),43.28,2723.05,Yes
CUST-00056,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.29,1217.44,No
CUST-00057,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),69.57,1952.6,No
CUST-00058,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,27.84,1698.54,No
CUST-00059,Male,0,No,No,15,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,100.76,1515.4,No
CUST-00060,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.71,2437.47,Yes
CUST-00061,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),81.49,77.69,No
CUST-00062,Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),52.05,3122.56,No
CUST-00063,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,89.34,270.55,No
CUST-00064,Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.08,2757.17,Yes
CUST-00065,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,56.69,2265.54,No
CUST-00066,Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,66.97,3419.61,No
CUST-00067,Male,1,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,51.0,1530.97,Yes
CUST-00068,Female,1,No,No,25,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),35.39,886.03,No
CUST-00069,Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.57,1628.81,Yes
CUST-00070,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,85.68,4288.73,No
CUST-00071,Female,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.27,2410.84,No
CUST-00072,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,100.58,1000.96,No
CUST-00073,Female,1,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,101.72,716.7,No
CUST-00074,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,39.28,429.35,No
CUST-00075,Female,1,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),45.53,2007.93,No
CUST-00076,Female,1,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.24,600.89,No
CUST-00077,Female,0,Yes,Yes,71,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,53.98,3836.17,No
CUST-00078,Male,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),111.11,5110.07,No
CUST-00079,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.8,1957.3,No
CUST-00080,Male,1,No,No,40,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),115.97,4637.82,No
CUST-00081,Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,39.85,839.24,Yes
CUST-00082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),76.37,1530.45,Yes
CUST-00083,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),55.2,1493.89,No
CUST-00084,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.82,5331.35,No
CUST-00085,Male,1,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,93.9,6576.31,Yes
CUST-00086,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,27.68,358.88,No
CUST-00087,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,26.96,1942.19,No
CUST-00088,Female,0,No,No,51,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),29.1,1479.72,No
CUST-00089,Female,0,No,No,42,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,46.64,1959.88,No
CUST-00090,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),93.96,6580.45,No
CUST-00091,Female,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,83.14,1494.35,No
CUST-00092,Female,1,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.63,1264.0,Yes
CUST-00093,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.32,1793.65,No
CUST-00094,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,92.32,1105.84,No
CUST-00095,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,117.23,4.19,No
CUST-00096,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.93,2898.23,No
CUST-00097,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),91.15,1093.56,No
CUST-00098,Female,1,Yes,No,50,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,101.98,5100.34,Yes
CUST-00099,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,112.4,-0.29,No
CUST-00100,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,46.29,1248.96,Yes
CUST-00101,Female,0,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,83.89,2601.96,No
CUST-00102,Female,0,Yes,Yes,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,60.06,4268.14,No
CUST-00103,Female,0,No,No,54,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,41.41,2237.77,No
CUST-00104,Female,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),37.6,941.24,No
CUST-00105,Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.0,366.45,No
CUST-00106,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.54,7003.22,No
CUST-00107,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),19.17,1183.71,No
CUST-00108,Female,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),119.46,1557.37,No
CUST-00109,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),116.4,3024.46,Yes
CUST-00110,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),72.14,2888.28,No
CUST-00111,Male,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,93.76,188.41,Yes
CUST-00112,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,64.75,3757.44,No
CUST-00113,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,40.39,891.76,No
CUST-00114,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.38,1587.39,Yes
CUST-00115,Female,1,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),63.74,2544.94,No
CUST-00116,Male,1,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,106.35,749.08,Yes
CUST-00117,Female,0,No,No,31,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,105.77,3281.9,No
CUST-00118,Female,1,No,No,40,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),115.75,4631.42,No
CUST-00119,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,89.24,3930.45,No
CUST-00120,Female,0,Yes,No,8,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),68.22,550.0,No
CUST-00121,Male,0,No,No,47,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.21,3538.64,No
CUST-00122,Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,54.6,1252.22,No
CUST-00123,Male,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),85.26,3668.47,No
CUST-00124,Male,0,No,Yes,57,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),27.41,1560.56,No
CUST-00125,Female,0,No,No,65,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,119.15,7740.17,No
CUST-00126,Female,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.44,413.27,Yes
CUST-00127,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),79.47,2226.71,No
CUST-00128,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),47.65,51.78,No
CUST-00129,Female,0,No,Yes,67,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.86,6826.53,No
CUST-00130,Female,0,No,Yes,38,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),82.25,3126.32,No
CUST-00131,Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,79.95,5754.74,No
CUST-00132,Male,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),94.35,3771.22,No
CUST-00133,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),30.04,2103.32,No
CUST-00134,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.8,1045.64,Yes
CUST-00135,Male,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,69.6,3342.65,No
CUST-00136,Male,0,No,No,27,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),50.64,1367.66,No
CUST-00137,Male,0,Yes,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.24,437.76,No
CUST-00138,Male,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),49.58,3325.33,No
CUST-00139,Male,0,No,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,64.76,3953.31,No
CUST-00140,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),33.07,1160.58,No
CUST-00141,Male,0,No,Yes,21,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,85.51,1791.62,No
CUST-00142,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),25.41,250.59,No
CUST-00143,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),108.94,4463.54,No
CUST-00144,Female,1,No,Yes,54,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,55.01,2974.64,No
CUST-00145,Male,1,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,54.61,3930.54,No
CUST-00146,Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.4,1341.15,No
CUST-00147,Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),67.16,3756.38,No
CUST-00148,Male,0,No,No,33,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,102.88,3397.37,No
CUST-00149,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.85,5607.83,No
CUST-00150,Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,100.64,6946.62,No
CUST-00151,Male,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,116.82,345.89,No
CUST-00152,Male,1,No,No,45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),81.78,3676.08,No
CUST-00153,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Mailed check,35.2,354.43,No
CUST-00154,Male,1,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,48.88,2934.07,No
CUST-00155,Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,85.46,2904.28,No
CUST-00156,Male,0,Yes,No,68,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.77,6648.9,No
CUST-00157,Female,0,No,No,56,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,84.77,4742.16,Yes
CUST-00158,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,77.05,769.81,Yes
CUST-00159,Female,0,No,Yes,11,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,112.55,1234.72,No
CUST-00160,Male,0,No,Yes,42,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,68.65,2887.96,Yes
CUST-00161,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),86.0,1546.17,No
CUST-00162,Female,0,No,No,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,49.86,3343.59,No
CUST-00163,Female,1,Yes,No,58,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,57.66,3340.55,Yes
CUST-00164,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),41.91,38.71,No
CUST-00165,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.63,699.39,Yes
CUST-00166,Female,0,Yes,No,21,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),38.31,807.24,No
CUST-00167,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),41.7,837.99,Yes
CUST-00168,Male,0,Yes,No,28,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),28.93,811.98,Yes
CUST-00169,Female,0,Yes,No,36,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,92.93,3347.56,No
CUST-00170,Female,0,Yes,Yes,28,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,25.74,718.05,No
CUST-00171,Male,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.08,871.34,No
CUST-00172,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,81.78,1637.73,No
CUST-00173,Female,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,56.3,616.07,No
CUST-00174,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),112.56,5291.81,No
